"mm" "tmax" "tmin" "af" "rain" "sun" "before_79"
"35" 11 8.1 2.9 7 113.8 48.6 "Yes"
"36" 12 4.2 -0.5 17 121.5 19.1 "Yes"
"37" 1 6.7 1.6 6 220.1 37.4 "Yes"
"38" 2 7.2 2.4 2 103.6 64.2 "Yes"
"39" 3 7.5 0 14 38.4 104.7 "Yes"
"40" 4 12.8 3.2 4 72.4 197.1 "Yes"
"41" 5 15.8 7 2 62.4 198.8 "Yes"
"42" 6 18.3 8.5 0 53.2 192.8 "Yes"
"43" 7 17.9 9.9 0 76.7 137.8 "Yes"
"44" 8 17.2 10.1 0 136.5 142 "Yes"
"45" 9 14.8 9.1 0 181.8 74.1 "Yes"
"46" 10 13.3 8.2 0 60.5 83.3 "Yes"
"47" 11 7.8 3.2 7 68.3 27 "Yes"
"48" 12 5.9 0.5 12 114 34.4 "Yes"
"49" 1 2.5 -2.7 22 18.1 46.9 "Yes"
"50" 2 3.9 -2.9 22 13.2 70.5 "Yes"
"51" 3 9.8 2.8 6 153 85.7 "Yes"
"52" 4 11.6 4.8 1 61.5 110.6 "Yes"
"53" 5 14 6.4 0 95.7 193.5 "Yes"
"54" 6 18.5 10.8 0 62 172.9 "Yes"
"55" 7 18 10.7 0 80.2 151.2 "Yes"
"56" 8 17.1 10.7 0 86.5 88.1 "Yes"
"57" 9 15.8 9.2 0 90 128.4 "Yes"
"58" 10 13.2 7.5 0 127.1 76.8 "Yes"
"59" 11 8.5 3.7 6 191.6 34.9 "Yes"
"60" 12 5.8 1.3 12 50.9 25.8 "Yes"
"61" 1 6.8 2.5 7 61.9 21.8 "Yes"
"62" 2 7.2 2.3 5 30.4 59.7 "Yes"
"63" 3 7.4 2.2 3 55.4 57.7 "Yes"
"64" 4 12.1 5.4 0 77.3 101.3 "Yes"
"65" 5 16 8.7 0 85.8 167.7 "Yes"
"66" 6 17.5 9.6 0 68 163.5 "Yes"
"67" 7 17.9 11.5 0 58 126.7 "Yes"
"68" 8 17.6 10.9 0 146.3 121.9 "Yes"
"69" 9 16.4 9.4 0 131.5 132.9 "Yes"
"70" 10 11.8 5.7 0 67.4 74 "Yes"
"71" 11 8.8 3.8 3 95.6 31.3 "Yes"
"72" 12 6 1.2 7 154.3 34.8 "Yes"
"73" 1 5.1 0.6 13 127.2 54.2 "Yes"
"74" 2 6.7 0.4 11 24 61.7 "Yes"
"75" 3 8 1.2 9 68.5 99.5 "Yes"
"76" 4 12 4.3 1 74.8 145.9 "Yes"
"77" 5 14.8 7.6 0 86.3 134.5 "Yes"
"78" 6 17.9 10.4 0 102.6 160.2 "Yes"
"79" 7 16.8 9.6 0 98.2 147.3 "Yes"
"80" 8 17.5 10 0 107.7 136.6 "Yes"
"81" 9 15 9.2 0 144.2 70.5 "Yes"
"82" 10 12.2 7.1 0 126.2 53.3 "Yes"
"83" 11 6.2 1.4 13 55 68.5 "Yes"
"84" 12 5.7 1.3 7 138.9 47.1 "Yes"
"85" 1 4.7 1.1 12 71.9 22.8 "Yes"
"86" 2 5.7 1.6 8 131.2 24.5 "Yes"
"87" 3 9.9 4.2 1 92.9 128.6 "Yes"
"88" 4 8.3 3.1 5 79.6 105.1 "Yes"
"89" 5 15 6.7 0 87.9 208.2 "Yes"
"90" 6 17.4 11.2 0 111.7 82 "Yes"
"91" 7 18.5 10.9 0 33.6 195.3 "Yes"
"92" 8 17.6 10.1 0 104.8 144.7 "Yes"
"93" 9 16 10.7 0 115.7 94.7 "Yes"
"94" 10 12 5.6 1 82.6 81.7 "Yes"
"95" 11 7.5 2.3 6 99.9 58.9 "Yes"
"96" 12 6.2 2.1 6 174.5 32.1 "Yes"
"97" 1 6.3 2.6 10 90.9 51.4 "Yes"
"98" 2 7.5 3.1 4 132.3 64.7 "Yes"
"99" 3 9.1 3.7 1 138.6 108.1 "Yes"
"100" 4 11.9 4.3 1 47.4 156 "Yes"
"101" 5 13.2 6.3 0 121.2 129.7 "Yes"
"102" 6 18.4 9.7 0 38.3 219 "Yes"
"103" 7 17.5 11.2 0 77.6 124.5 "Yes"
"104" 8 18.4 11.3 0 69.1 147.8 "Yes"
"105" 9 16.5 9.8 0 108.7 101.1 "Yes"
"106" 10 11.9 6.7 0 256.9 111.8 "Yes"
"107" 11 8.3 3.3 0 82 46.7 "Yes"
"108" 12 7.1 2.6 11 59 64.6 "Yes"
"109" 1 6.5 2.2 10 89.3 38.8 "Yes"
"110" 2 4.2 -0.8 16 69.3 56.6 "Yes"
"111" 3 9.3 3 1 126.4 103.9 "Yes"
"112" 4 12.3 4.1 4 53.7 157.1 "Yes"
"113" 5 13.3 5.5 0 123.8 137 "Yes"
"114" 6 19.3 10.1 0 27.6 202.2 "Yes"
"115" 7 18.2 11 0 82.4 98.7 "Yes"
"116" 8 19.1 11.2 0 69.6 156.4 "Yes"
"117" 9 16 9.6 0 140.4 87.4 "Yes"
"118" 10 13.5 8.9 0 161.9 64 "Yes"
"119" 11 7.9 3.1 7 92.8 33.3 "Yes"
"120" 12 5.8 1 13 46.4 22.1 "Yes"
"121" 1 6.8 2.8 4 103 25 "Yes"
"122" 2 4.1 -1.1 15 41.5 55.8 "Yes"
"123" 3 6 0 14 20 68.7 "Yes"
"124" 4 11.8 3.1 2 39.5 150.7 "Yes"
"125" 5 14.2 6.6 0 112.3 121.3 "Yes"
"126" 6 18.6 9.6 0 70.9 199.7 "Yes"
"127" 7 19.5 11.8 0 54.1 161.2 "Yes"
"128" 8 20.1 12.3 0 57.6 169.6 "Yes"
"129" 9 16.2 10 0 72.9 108.8 "Yes"
"130" 10 14.9 9.7 0 61.8 71.2 "Yes"
"131" 11 6.6 0.9 13 146 44.3 "Yes"
"132" 12 5.7 1 11 102.5 26.4 "Yes"
"133" 1 5.5 0.9 9 100.1 23.6 "Yes"
"134" 2 5.7 -0.9 15 114.2 109.4 "Yes"
"135" 3 8.5 1.2 9 48.4 135.1 "Yes"
"136" 4 10.8 2.7 5 83.9 123.9 "Yes"
"137" 5 15.5 8.2 0 37.8 110.9 "Yes"
"138" 6 20.1 11.1 0 56.3 188.2 "Yes"
"139" 7 17.1 10.2 0 69.3 108.5 "Yes"
"140" 8 19.6 11.7 0 89.7 142.7 "Yes"
"141" 9 15.8 9.8 0 129.2 80 "Yes"
"142" 10 12.3 6.9 0 151.5 76.7 "Yes"
"143" 11 8.6 4 1 166.3 37.6 "Yes"
"144" 12 7 2.6 6 65.5 39.1 "Yes"
"145" 1 6.6 2.6 8 100.1 22.7 "Yes"
"146" 2 7.7 3.3 4 105.8 44.3 "Yes"
"147" 3 9.3 2.5 6 39.9 78.2 "Yes"
"148" 4 12.4 4.2 0 38 132.7 "Yes"
"149" 5 15.4 7.4 0 48.9 198.1 "Yes"
"150" 6 16.1 8.7 0 31.1 164.1 "Yes"
"151" 7 19.8 11.6 0 94.1 194.8 "Yes"
"152" 8 17.9 11.6 0 98.5 97.8 "Yes"
"153" 9 17.8 10.2 0 24.7 125.5 "Yes"
"154" 10 14 7.7 2 137.3 84.5 "Yes"
"155" 11 9.1 3.7 6 78.6 48.2 "Yes"
"156" 12 9.6 5.6 1 90.5 14.5 "Yes"
"157" 1 6.1 2.3 5 105.9 25.2 "Yes"
"158" 2 6.8 2.1 3 56.1 35.3 "Yes"
"159" 3 9.2 2.7 1 47.5 80.3 "Yes"
"160" 4 12.9 5.2 0 122.1 138.2 "Yes"
"161" 5 14.6 7.4 0 122.2 113.1 "Yes"
"162" 6 15.5 8.1 0 103.1 170.8 "Yes"
"163" 7 19.7 11.5 0 45.9 175.9 "Yes"
"164" 8 18.3 10.6 0 48.6 155.4 "Yes"
"165" 9 16.5 7.8 0 11.4 140.8 "Yes"
"166" 10 14 6.8 0 32.9 82 "Yes"
"167" 11 8.4 2.6 8 134.3 55.7 "Yes"
"168" 12 8.1 3.1 4 128.1 16.1 "Yes"
"169" 1 6.6 3 4 111.3 14.9 "Yes"
"170" 2 6.9 1.3 11 80.2 69.6 "Yes"
"171" 3 10.3 3.4 4 53.2 110.8 "Yes"
"172" 4 11.7 3.2 4 65.5 160.9 "Yes"
"173" 5 14.2 6.6 0 77.4 128.9 "Yes"
"174" 6 18.4 10 0 63.6 157.1 "Yes"
"175" 7 20 11.8 0 66.7 159.5 "Yes"
"176" 8 18.7 11.8 0 65.6 133.6 "Yes"
"177" 9 16.5 9.8 0 68.5 107.1 "Yes"
"178" 10 12.3 5.9 1 46 86 "Yes"
"179" 11 8.2 2.7 7 119.1 57.9 "Yes"
"180" 12 6.8 1.6 9 143.5 30.7 "Yes"
"181" 1 8.3 3.7 1 218.8 24.7 "Yes"
"182" 2 8 3.2 1 65 46.3 "Yes"
"183" 3 8.3 2.7 3 50.5 72.3 "Yes"
"184" 4 14.1 4.2 0 4.8 175.9 "Yes"
"185" 5 15.3 7.5 0 51 175 "Yes"
"186" 6 18.3 9.7 0 36.8 226.5 "Yes"
"187" 7 17.2 11.1 0 68.9 156.9 "Yes"
"188" 8 18.4 11.3 0 73.5 149.2 "Yes"
"189" 9 14.3 8.4 1 120 108.5 "Yes"
"190" 10 11.3 5 0 35 96.9 "Yes"
"191" 11 8.4 3.4 4 148.4 44.6 "Yes"
"192" 12 9.1 4.7 1 181.1 29.9 "Yes"
"193" 1 8.1 2.9 4 232.8 14.1 "Yes"
"194" 2 6.9 2.2 6 58.9 55.1 "Yes"
"195" 3 8.6 1.7 4 37.1 112.9 "Yes"
"196" 4 11.9 5.2 1 64.2 124.6 "Yes"
"197" 5 15 5.5 0 18.4 250.6 "Yes"
"198" 6 19.3 9.8 0 53.3 230.1 "Yes"
"199" 7 19.8 12.6 0 52.7 159.3 "Yes"
"200" 8 21.7 13.8 0 44 159.8 "Yes"
"201" 9 15.3 8.5 0 190.7 108.3 "Yes"
"202" 10 12.8 7.5 0 107.6 54.2 "Yes"
"203" 11 8.9 3.1 5 121.4 53.2 "Yes"
"204" 12 8.7 3.7 4 43.7 43.1 "Yes"
"205" 1 7.9 3.1 3 131.7 39.1 "Yes"
"206" 2 7.4 2.9 2 74.6 29.7 "Yes"
"207" 3 7.9 1.8 6 118 78.7 "Yes"
"208" 4 12.1 5.1 0 63.2 115.3 "Yes"
"209" 5 14.3 7.7 0 126.9 129.5 "Yes"
"210" 6 19 11.5 0 38.2 162.6 "Yes"
"211" 7 21.7 13.4 0 42.3 201 "Yes"
"212" 8 22.1 11.5 0 9 208.7 "Yes"
"213" 9 16 10.1 0 74.8 98.9 "Yes"
"214" 10 12.5 7.2 0 123.2 69.6 "Yes"
"215" 11 8.6 3.2 6 123.6 50.6 "Yes"
"216" 12 3.8 -0.7 14 81.3 51.3 "Yes"
"217" 1 4.8 -0.2 15 81.4 52.4 "Yes"
"218" 2 6 1 10 128.8 63.1 "Yes"
"219" 3 9.5 3.6 3 122.9 69.2 "Yes"
"220" 4 10.5 3.9 3 84.5 144.7 "Yes"
"221" 5 15.4 6.2 0 50 209.7 "Yes"
"222" 6 18.2 9.1 0 38.7 209.3 "Yes"
"223" 7 21.1 12.1 0 48.3 206.7 "Yes"
"224" 8 19 11.4 0 85.9 174.9 "Yes"
"225" 9 15.3 9.3 0 160.2 98.1 "Yes"
"226" 10 14 8.9 0 178.7 77.1 "Yes"
"227" 11 7.4 2.5 6 156.1 57.9 "Yes"
"228" 12 7.5 3.7 3 64.7 27.8 "Yes"
"229" 1 5.3 0.2 14 121.4 46.2 "Yes"
"230" 2 4.8 -0.9 15 77.5 73.5 "Yes"
"231" 3 9.2 3.4 1 149.2 89.5 "Yes"
"232" 4 9.8 3.7 3 31.1 86.7 "Yes"
"233" 5 17.2 7.8 0 7 201.8 "Yes"
"234" 6 18.3 9.8 0 84.7 185.3 "Yes"
"235" 7 18.2 10.7 0 72.2 171.7 "Yes"
"236" 8 17.6 11.7 0 106.4 87.7 "Yes"
"237" 9 15.8 10.7 0 165.8 78.7 "Yes"
"238" 10 14.1 9.2 0 47 83.4 "Yes"
"239" 11 10.4 5.5 3 200 44.2 "Yes"
"240" 12 5.4 1.5 8 99.6 15.9 "Yes"
"241" 1 3.3 -2.6 24 96.7 44.9 "Yes"
"242" 2 4.3 -1.2 16 14.9 72.6 "Yes"
"243" 3 6.9 0.9 9 157.3 96.5 "Yes"
"244" 4 10.7 3.8 2 64.8 123.6 "Yes"
"245" 5 13.4 5.3 0 43 183.5 "Yes"
"246" 6 17.9 10.4 0 77.1 175.1 "Yes"
"247" 7 17.8 11.5 0 39.7 107.9 "Yes"
"248" 8 17.8 10.4 0 134.2 147.4 "Yes"
"249" 9 15.6 9.1 0 77.6 133.6 "Yes"
"250" 10 13.2 7.7 0 150 56 "Yes"
"251" 11 8.7 3 7 205.4 34.1 "Yes"
"252" 12 6.7 2.1 9 177.4 38.3 "Yes"
"253" 1 4.4 -0.1 12 69.8 31.5 "No"
"254" 2 7 2.8 4 73.3 20.8 "No"
"255" 3 7.3 1.7 8 74.4 80.3 "No"
"256" 4 13.8 5.3 0 7.9 177.3 "No"
"257" 5 17.6 6.8 0 22 250.7 "No"
"258" 6 16.9 9.9 0 74.6 120 "No"
"259" 7 17.8 10.6 0 112.3 113.9 "No"
"260" 8 18 11.3 0 129.6 102.7 "No"
"261" 9 16.3 10.8 0 129 75.9 "No"
"262" 10 11 5.4 1 137.3 84.2 "No"
"263" 11 8.8 3.8 6 142.9 45 "No"
"264" 12 8.1 2.9 5 185.3 24.4 "No"
"265" 1 7.3 1.8 12 89.2 35.1 "No"
"266" 2 6.5 0.7 14 90.4 75 "No"
"267" 3 9.6 3.2 3 150.2 75.5 "No"
"268" 4 12.9 4.2 2 13.8 191.2 "No"
"269" 5 15.5 7.5 0 125.9 124.4 "No"
"270" 6 16.8 9.8 0 78.1 141.4 "No"
"271" 7 18.1 11.5 0 82.6 144.6 "No"
"272" 8 19.3 11.9 0 16.4 166.3 "No"
"273" 9 16.8 10.1 0 246.8 107.1 "No"
"274" 10 10.5 3.5 4 164.9 100.7 "No"
"275" 11 10.1 4.6 0 148 43.7 "No"
"276" 12 2.2 -3.5 21 30.2 29.7 "No"
"277" 1 5.1 -0.3 10 118 30.8 "No"
"278" 2 8 2.8 4 96.4 52.7 "No"
"279" 3 9.7 2.3 2 153.2 113.5 "No"
"280" 4 13.4 5.3 0 32.6 158.4 "No"
"281" 5 15.9 6.5 1 81.9 197.2 "No"
"282" 6 17.9 10.7 0 68.5 133.9 "No"
"283" 7 21.3 12.4 0 15.7 189.2 "No"
"284" 8 18.1 11.9 0 125.8 126.4 "No"
"285" 9 15.8 9.6 0 160.9 104.6 "No"
"286" 10 12.9 7.3 0 152.6 62.6 "No"
"287" 11 9.3 3.9 4 183.5 33.4 "No"
"288" 12 6.7 1.3 12 153.6 32.1 "No"
"289" 1 8.3 3.3 1 205.4 24.8 "No"
"290" 2 5.2 -0.4 15 47.5 60.5 "No"
"291" 3 9.1 3.9 2 99.5 60.4 "No"
"292" 4 10.5 2.9 4 37.4 120.5 "No"
"293" 5 13.5 7 0 107.5 90.2 "No"
"294" 6 17.1 9.7 0 57.6 147.7 "No"
"295" 7 21.9 13.3 0 28 172.3 "No"
"296" 8 21.4 12.6 0 34.1 173.8 "No"
"297" 9 15.2 9.2 0 153.2 79.2 "No"
"298" 10 12.3 6.8 2 236.2 58.3 "No"
"299" 11 10.1 4.8 6 19.1 48 "No"
"300" 12 8.8 3.6 3 148.1 28.4 "No"
"301" 1 4.8 -0.3 12 192.7 31.5 "No"
"302" 2 6.6 2.2 5 87.2 47.8 "No"
"303" 3 8.2 2.8 3 53 60 "No"
"304" 4 13.7 4.5 2 19.4 167 "No"
"305" 5 16.8 6.8 0 17.4 219.4 "No"
"306" 6 18.3 10.8 0 36.5 144.6 "No"
"307" 7 22.1 12.2 0 12.4 219.2 "No"
"308" 8 21.5 12.6 0 29 165.3 "No"
"309" 9 15.4 9.4 0 129.7 85 "No"
"310" 10 12.8 7.2 0 201.6 77.9 "No"
"311" 11 9.3 4.9 3 191.5 35.7 "No"
"312" 12 7.7 3.1 5 132.7 24.1 "No"
"313" 1 3.8 -1.2 21 53 49.4 "No"
"314" 2 6.2 0.2 11 31.3 69.3 "No"
"315" 3 8 1.7 8 81.3 115.3 "No"
"316" 4 11.9 4.7 0 61.5 120.9 "No"
"317" 5 15.3 7.3 0 56.1 157.7 "No"
"318" 6 16.6 8.9 0 69.5 166.3 "No"
"319" 7 18 11.8 0 165 94.2 "No"
"320" 8 16.8 10.7 0 185.7 110.7 "No"
"321" 9 15.3 9.8 0 288.2 75.3 "No"
"322" 10 13.3 7.4 0 54.8 89.6 "No"
"323" 11 6.8 0.3 17 115 53.7 "No"
"324" 12 7.5 3.1 6 178.2 25.8 "No"
"325" 1 5.4 0.1 14 151.4 40.9 "No"
"326" 2 3.1 -1.8 21 8.8 62.6 "No"
"327" 3 8.7 2.2 5 163.2 116.3 "No"
"328" 4 9.5 2.6 5 55.7 110.7 "No"
"329" 5 13.8 7.4 0 165.6 142.7 "No"
"330" 6 18.6 9.7 0 40.7 186.3 "No"
"331" 7 18 11.3 0 87.6 110.9 "No"
"332" 8 17.1 9.4 0 121.2 122.1 "No"
"333" 9 15.3 7.6 0 30.9 147.6 "No"
"334" 10 12.8 7.3 0 161.7 89.2 "No"
"335" 11 10.1 4.6 4 205.1 50.8 "No"
"336" 12 7.2 2.8 2 246.5 32.5 "No"
"337" 1 4 -0.7 14 64.5 38.9 "No"
"338" 2 7.1 0.4 11 81.3 65.8 "No"
"339" 3 8.1 1 11 118.5 104.9 "No"
"340" 4 13.1 5.6 0 54.9 116.3 "No"
"341" 5 14.9 6.2 0 58.7 199 "No"
"342" 6 16.3 8.7 0 117.4 126.1 "No"
"343" 7 19.3 11.8 0 53.4 146.7 "No"
"344" 8 18.5 10.7 0 106 143.8 "No"
"345" 9 16 9.1 0 113.5 158.4 "No"
"346" 10 11.3 4.7 4 150.9 84.8 "No"
"347" 11 8.5 4.1 3 81.4 52 "No"
"348" 12 7.6 2.1 10 119.7 24.7 "No"
"349" 1 6.5 1.8 7 160.7 39.8 "No"
"350" 2 7.6 2.1 1 111.9 77.2 "No"
"351" 3 8.9 2.3 8 146.1 68.2 "No"
"352" 4 12.1 4.3 1 68.1 112.5 "No"
"353" 5 16 6.7 0 61.6 179.2 "No"
"354" 6 20 10.5 0 12.6 203.8 "No"
"355" 7 17.4 10.8 0 144.5 106.2 "No"
"356" 8 18.2 11 0 138.4 126.6 "No"
"357" 9 15.7 9.3 0 115.8 128.8 "No"
"358" 10 12.4 6.3 3 143.9 76.5 "No"
"359" 11 8.8 2.6 7 84.3 67.8 "No"
"360" 12 9.7 5.4 0 95.6 26 "No"
"361" 1 9.5 4.9 0 174.4 26.7 "No"
"362" 2 8.1 2.3 6 170.7 64.9 "No"
"363" 3 9.5 2.5 3 198.7 93.7 "No"
"364" 4 10.7 3.1 5 52.5 139.4 "No"
"365" 5 16.9 7.1 0 25.1 217.3 "No"
"366" 6 18.3 9.1 0 76.4 179 "No"
"367" 7 22.2 11.4 0 22 259.5 "No"
"368" 8 18.1 11.3 0 133.9 131 "No"
"369" 9 16 8.8 0 82.7 104 "No"
"370" 10 13.6 7.7 0 130.6 78.8 "No"
"371" 11 8.2 2.8 7 42.3 70.5 "No"
"372" 12 4.8 -0.1 15 83.1 22.8 "No"
"373" 1 8.1 3.6 0 252 33.3 "No"
"374" 2 8.7 3.4 0 245.9 44.2 "No"
"375" 3 10.6 4.9 2 181 74.8 "No"
"376" 4 12.2 3.8 1 74.3 134 "No"
"377" 5 17.2 7.8 0 61.7 196.5 "No"
"378" 6 17.6 9.5 0 103.9 128.4 "No"
"379" 7 20 11.5 0 52.5 215.2 "No"
"380" 8 18.9 12 0 78.1 121.3 "No"
"381" 9 15.7 8.3 0 65 129.2 "No"
"382" 10 12.8 7.7 0 207.2 60.5 "No"
"383" 11 8.4 2.5 10 59 81.8 "No"
"384" 12 7.1 1.3 10 152 37.1 "No"
"385" 1 5.4 0.5 11 149.4 37.5 "No"
"386" 2 5.6 -0.3 15 63.4 67.4 "No"
"387" 3 10.6 3.8 1 98.1 79.6 "No"
"388" 4 12 4.7 1 129 144.7 "No"
"389" 5 16.5 7.6 0 9.1 195.1 "No"
"390" 6 16.4 8 0 96.2 165.6 "No"
"391" 7 20.8 13.1 0 86.5 145.5 "No"
"392" 8 19.6 12.6 0 48.8 131 "No"
"393" 9 17.4 8.8 0 120 150.6 "No"
"394" 10 12.1 6.4 0 102.5 64.8 "No"
"395" 11 8.7 3.2 6 185.2 51.6 "No"
"396" 12 7.8 2.2 6 136.4 19.2 "No"
"397" 1 7.1 1.4 14 124.8 28.9 "No"
"398" 2 8.3 2.8 4 173.7 51 "No"
"399" 3 9.8 4 2 145.8 72.6 "No"
"400" 4 11.4 4.7 0 73.5 71.9 "No"
"401" 5 17.4 8 0 84.4 192.1 "No"
"402" 6 19.7 11.3 0 29.1 171.3 "No"
"403" 7 18.6 11.2 0 72.9 130.1 "No"
"404" 8 17.5 10.6 0 171.5 140.9 "No"
"405" 9 14.8 9 0 161.8 90.5 "No"
"406" 10 10.4 2.9 4 78.5 102.7 "No"
"407" 11 9.2 2.8 6 183.3 36.3 "No"
"408" 12 6.2 1.1 11 94.8 18.1 "No"
"409" 1 7.8 1.7 7 277.5 27.8 "No"
"410" 2 8.8 3.4 4 21 36.9 "No"
"411" 3 9.7 2.5 7 109.4 92.6 "No"
"412" 4 12.5 4.5 1 118.6 97.8 "No"
"413" 5 15 6 0 96.5 129.8 "No"
"414" 6 18 10.3 0 42.6 99.5 "No"
"415" 7 17.4 10.6 0 62.9 112 "No"
"416" 8 18 9.1 0 61.8 159.7 "No"
"417" 9 15.9 7.9 0 73.9 115.5 "No"
"418" 10 10.7 4.1 6 72.3 95.3 "No"
"419" 11 6.7 1.8 13 100.8 45.8 "No"
"420" 12 5.8 1.1 9 217.7 29.9 "No"
"421" 1 6.6 1.7 7 193.7 32.5 "No"
"422" 2 5.1 0.5 9 79.4 47.5 "No"
"423" 3 8.9 3.2 0 217.9 88.1 "No"
"424" 4 11.8 4 0 91.1 131 "No"
"425" 5 15.2 6.1 0 12.7 186.4 "No"
"426" 6 16.6 9.3 0 89.8 150.8 "No"
"427" 7 20 12.1 0 68.7 145 "No"
"428" 8 18.3 10.9 0 124.2 158.8 "No"
"429" 9 15.3 8.4 0 55.2 115.1 "No"
"430" 10 12.2 6.2 0 71.7 69.5 "No"
"431" 11 11.4 7.4 0 141.7 39.2 "No"
"432" 12 7.9 3 6 277.8 24.7 "No"
"433" 1 6.6 0.8 12 181.5 55.7 "No"
"434" 2 7.6 2.4 5 182.7 69.4 "No"
"435" 3 8.1 1.7 8 104.2 100.3 "No"
"436" 4 13.1 5.3 1 36.4 145.3 "No"
"437" 5 15.9 6.8 0 63.1 170.4 "No"
"438" 6 20.1 9.5 0 26.2 259.9 "No"
"439" 7 20.9 12.4 0 106 183.4 "No"
"440" 8 22.7 13 0 22.1 234.2 "No"
"441" 9 16.7 9.5 0 128.3 111.6 "No"
"442" 10 14.6 8.9 0 279.5 79.6 "No"
"443" 11 9.9 4.7 2 70.2 56.7 "No"
"444" 12 4 -1.1 14 41 49.2 "No"
"445" 1 6.8 3.8 3 66.9 13.4 "No"
"446" 2 6.4 0.4 14 88.7 97.6 "No"
"447" 3 7.8 2.1 4 60 74.8 "No"
"448" 4 12 5.1 2 83 99.4 "No"
"449" 5 13.4 5.6 0 50.1 171.2 "No"
"450" 6 18.4 9.9 0 34.2 236.1 "No"
"451" 7 19.2 11.3 0 59 151.7 "No"
"452" 8 20.2 12.5 0 41.9 142.6 "No"
"453" 9 17.6 10.1 0 49.8 158.5 "No"
"454" 10 13.8 8.2 0 194.4 78 "No"
"455" 11 7.8 2.3 8 148.6 84.7 "No"
"456" 12 5.8 1.3 11 82.2 38.4 "No"
"457" 1 6 1.3 12 39.1 24.9 "No"
"458" 2 9 2.8 3 250.2 60.2 "No"
"459" 3 11 4.6 1 83.8 98.5 "No"
"460" 4 13.5 6 0 48.3 116 "No"
"461" 5 15.6 7 1 73 191.8 "No"
"462" 6 18.2 10.1 0 66.7 149.8 "No"
"463" 7 20.3 12.4 0 48.3 144.9 "No"
"464" 8 21.5 13.6 0 31.3 147.8 "No"
"465" 9 16.3 9.2 0 114.3 147.4 "No"
"466" 10 12.7 6.2 3 79.9 110.6 "No"
"467" 11 10.6 5.9 0 74.9 36.5 "No"
"468" 12 8 3.4 5 146.5 25.1 "No"
"469" 1 7.6 2.5 7 133.9 41.2 "No"
"470" 2 10 6.3 1 158.2 44.6 "No"
"471" 3 10.4 4.5 4 82.2 61.5 "No"
"472" 4 11.3 3.8 4 88.7 121.6 "No"
"473" 5 16.2 8.1 0 51.1 155 "No"
"474" 6 17 9.6 0 89.2 148.6 "No"
"475" 7 18.1 11.4 0 123.4 135.9 "No"
"476" 8 18.2 11.2 0 106.5 127.5 "No"
"477" 9 16.9 10.6 0 74 106.5 "No"
"478" 10 11.8 6.2 2 239.8 106.5 "No"
"479" 11 9.1 3.4 3 157.5 61.4 "No"
"480" 12 8.7 3.1 5 121.3 35.4 "No"
"481" 1 6.9 2.7 4 199.1 41.2 "No"
"482" 2 7.6 2.2 7 101.5 87.6 "No"
"483" 3 10.1 3.5 5 107.2 117 "No"
"484" 4 13.3 5.6 3 66.5 123.7 "No"
"485" 5 16 8.4 0 80.9 159.5 "No"
"486" 6 17.5 9 0 97.1 157.7 "No"
"487" 7 20.2 12.3 0 71.4 167.8 "No"
"488" 8 19.1 11.3 0 45.4 153.4 "No"
"489" 9 17.8 11.5 0 143.7 118.7 "No"
"490" 10 13.1 7.6 0 59.6 82.1 "No"
"491" 11 10 4.5 0 184.2 61.9 "No"
"492" 12 6.4 0.9 9 297.1 40.1 "No"
